,start,end,nsnps,nsamplecov,tree
10,200000,300000,50.0,36.0,"(CH:0.00927929,reference:0.0095915,((EN:1e-06,AR:1e-06)100:0.00290183,((DU:1e-06,DO:1e-06)100:0.00256415,((NI:1e-06,HE:0.00117163)100:0.0118219,(MXGT4:0.00217259,(FLCK18:0.00159912,(((FLCK216:0.00617589,FLSF47:1e-06)100:1e-06,(BJSL25:1e-06,BJVL19:1e-06)100:0.00232621)100:0.00201211,(CUSV6:1e-06,(FLWO6:1e-06,(CUVN10:1e-06,(CRL0001:1e-06,(CUCA4:1e-06,(BJSB3:0.00747849,((FLSA185:1e-06,(MXSA3017:0.00470277,(MXED8:0.00560106,(BZBB1:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:0.0013815)100:0.00106264)100:1e-06)100:0.00171783)100:0.001727,((TXMD3:1e-06,(FLSF33:1e-06,(TXGR3:0.00120764,FLAB109:1e-06)100:0.00220849)100:0.00186944)100:1e-06,(LALC2:1e-06,(SCCU3:1e-06,(TXWV2:1e-06,(FLMO62:1e-06,(FLSF54:1e-06,FLBA140:0.00115651)100:1e-06)100:1e-06)100:1e-06)100:0.00149428)100:0.00149492)100:1e-06)100:1e-06)100:1e-06)100:0.00126643)100:1e-06)100:1e-06)100:1e-06)100:0.000936228)100:0.00165782)100:0.0046206)100:0.00272911)100:0.00126504)100:0.00236324)100:0.00203017);"
11,220000,320000,43.0,36.0,"(CH:0.00282178,reference:0.0120487,((DO:1e-06,(AR:1e-06,EN:1e-06)100:0.00348664)100:0.00160196,(TXWV2:1e-06,(DU:1e-06,((HE:0.00147275,NI:1e-06)100:0.0131377,(MXGT4:0.00210719,(FLCK18:1e-06,((CRL0001:1e-06,((FLBA140:1e-06,FLCK216:1e-06)100:0.002239,(FLWO6:1e-06,(CUVN10:1e-06,(BJSB3:0.00724344,BJSL25:6.82172e-05)100:2.21215e-05)100:0.000863409)100:1e-06)100:1e-06)100:1e-06,(CUSV6:1e-06,(CUCA4:1e-06,((FLMO62:1e-06,(TXMD3:1e-06,(FLSF47:1e-06,(BJVL19:0.00228796,(SCCU3:1e-06,(FLSF33:0.000851725,(FLAB109:1e-06,TXGR3:1e-06)100:0.00348629)100:8.93361e-06)100:0.000302922)100:1e-06)100:1e-06)100:1e-06)100:0.000924641,((FLSF54:0.00114678,LALC2:1e-06)100:0.00104519,(FLSA185:1e-06,(MXED8:1e-06,(MXSA3017:0.00464783,(BZBB1:1e-06,(HNDA09:1e-06,CRL0030:1e-06)100:0.00157452)100:0.00110998)100:1e-06)100:0.00179434)100:0.00180607)100:1e-06)100:0.000887868)100:5.87641e-06)100:7.22783e-06)100:0.00173458)100:0.00655856)100:0.00390561)100:1e-06)100:0.00256948)100:1e-06)100:0.00445698);"
12,240000,340000,36.0,36.0,"(reference:0.0146342,((EN:1e-06,AR:1e-06)100:0.00617882,(DU:0.000694227,DO:0.00162157)100:0.000661886)100:0.00256287,(CH:0.00181267,((NI:1e-06,HE:1e-06)100:0.00980347,(MXGT4:0.00307858,(FLAB109:1e-06,(FLCK18:0.00111896,((CUMM5:1e-06,(BJVL19:1e-06,BJSL25:1e-06)100:1e-06)100:0.00411338,((CUVN10:0.00159348,CRL0001:1e-06)100:1e-06,(FLWO6:1e-06,((CUSV6:1e-06,(FLCK216:1e-06,FLBA140:1e-06)100:0.00186371)100:0.000378521,(BJSB3:0.00594163,(CUCA4:1e-06,(FLSF47:1e-06,(FLSF54:1e-06,((TXGR3:0.0033131,TXMD3:1e-06)100:1e-06,(LALC2:1e-06,(FLMO62:1e-06,(FLSF33:1e-06,(SCCU3:0.00189281,(FLSA185:1e-06,(MXED8:1e-06,(MXSA3017:0.00424899,(BZBB1:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:0.00166695)100:0.000819815)100:1e-06)100:0.00320851)100:1e-06)100:1e-06)100:0.00228857)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00103581)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00125901)100:0.00259192)100:0.00357794)100:0.00191828)100:1e-06);"
13,260000,360000,19.0,36.0,"(reference:0.00516626,(NI:1e-06,HE:1e-06)100:0.0110211,(CH:0.00269101,(((DU:0.00210235,DO:0.00270683)100:0.00052685,(EN:1e-06,AR:1e-06)100:0.00267059)100:0.00531428,((FLSF54:1e-06,(FLCK18:0.00218944,FLAB109:1e-06)100:1e-06)100:1e-06,((CUMM5:1e-06,(BJSL25:1e-06,(BJVL19:1e-06,MXGT4:1e-06)100:0.00312036)100:1e-06)100:0.00250195,((CUCA4:1e-06,BJSB3:0.00760268)100:1e-06,(FLSF47:1e-06,(TXGR3:0.0056983,((MXSA3017:1e-06,(BZBB1:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:1e-06)100:1e-06)100:0.00272798,(CUVN10:0.0027218,(CRL0001:1e-06,(MXED8:1e-06,(TXMD3:1e-06,(CUSV6:1e-06,(FLCK216:1e-06,(FLMO62:1e-06,(FLWO6:1e-06,(LALC2:1e-06,(FLSF33:1e-06,(FLBA140:1e-06,(FLSA185:1e-06,SCCU3:0.00218868)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:4.90758e-05)100:0.00369795)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00588408)100:1e-06)100:1e-06);"
14,280000,380000,10.0,36.0,"(reference:0.00713532,(NI:1e-06,HE:1e-06)100:0.0107867,(CH:1e-06,((EN:1e-06,AR:1e-06)100:0.00523085,(FLSF47:1e-06,(BJSB3:1e-06,(CUCA4:1e-06,((FLAB109:1e-06,(FLSF54:1e-06,FLCK18:0.00364296)100:1e-06)100:1e-06,((TXGR3:1e-06,(DO:0.00539925,(BJSL25:1e-06,(DU:1e-06,(MXGT4:1e-06,BJVL19:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00426296,(MXED8:1e-06,(CRL0001:1e-06,((MXSA3017:1e-06,(BZBB1:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:1e-06)100:1e-06)100:0.00543104,(CUVN10:0.00541835,(TXMD3:1e-06,(FLBA140:1e-06,(CUSV6:1e-06,(FLWO6:1e-06,(FLCK216:1e-06,(LALC2:1e-06,(FLMO62:1e-06,(CUMM5:1e-06,(FLSF33:1e-06,(FLSA185:1e-06,SCCU3:0.00361369)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1.94076e-05)100:1e-06)100:1e-06)100:0.00281644)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00295974)100:0.00719942)100:1e-06);"
15,300000,400000,26.0,37.0,"(reference:0.00756483,(DO:0.00338885,DU:1e-06)100:0.0124672,((CH:1e-06,(NI:1e-06,HE:1e-06)100:0.0111356)100:0.00184826,(CUSV6:0.00184845,(MXED8:1e-06,(TXGR3:0.00643498,(((BJSL25:1e-06,(MXGT4:1e-06,BJVL19:1e-06)100:1e-06)100:0.00126134,(MXSA3017:1e-06,(BZBB1:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:1e-06)100:1e-06)100:0.00370697)100:0.00125464,(BJSB3:1e-06,((AR:1e-06,EN:1e-06)100:0.00332532,((FLCK216:1e-06,(TXWV2:1e-06,(FLBA140:1e-06,FLSA185:1e-06)100:0.00183838)100:1e-06)100:1e-06,(FLMO62:1e-06,(CUMM5:1e-06,((FLAB109:1e-06,(FLSF54:1e-06,FLCK18:0.00158298)100:1e-06)100:1e-06,((CUCA4:1e-06,(FLSF47:1e-06,(CRL0001:1e-06,CUVN10:0.00183822)100:1e-06)100:1e-06)100:1e-06,(TXMD3:1e-06,(LALC2:1e-06,(FLWO6:1e-06,(SCCU3:0.00375164,FLSF33:1e-06)100:1e-06)100:0.00147881)100:0.00133963)100:1e-06)100:1e-06)100:0.00139016)100:1.43867e-05)100:1e-06)100:1e-06)100:1e-06)100:0.00302066)100:1e-06)100:1e-06)100:1e-06)100:0.00708521)100:0.0046334);"
16,320000,420000,35.0,37.0,"(reference:0.0113021,((DU:1e-06,DO:0.00329001)100:0.00996768,(EN:1e-06,AR:1e-06)100:0.002002)100:0.00314366,(CH:0.00320027,((HE:0.00191181,NI:1e-06)100:0.0129147,(((FLCK216:1e-06,CUSV6:0.00140206)100:0.00140296,(BJSB3:1e-06,(BJSL25:1e-06,BJVL19:0.0011646)100:0.000184808)100:1e-06)100:0.00103314,((MXGT4:0.00114101,((CRL0030:1e-06,HNDA09:1e-06)100:1e-06,(BZBB1:1e-06,(MXED8:1e-06,MXSA3017:0.0014015)100:1e-06)100:1e-06)100:0.00222313)100:0.00160967,(TXGR3:0.00503398,((FLBA140:1e-06,FLSA185:1e-06)100:0.00140464,(TXWV2:1e-06,(FLMO62:1e-06,(FLSF54:1e-06,((FLAB109:1e-06,FLCK18:0.00124266)100:1e-06,((TXMD3:1e-06,(CUCA4:1e-06,FLSF47:0.00139958)100:1e-06)100:1e-06,((CRL0001:1e-06,CUVN10:0.00139291)100:1e-06,(LALC2:1e-06,(CUMM5:1e-06,(SCCU3:0.00585926,(FLWO6:1e-06,FLSF33:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00227646)100:1e-06)100:1e-06)100:1e-06)100:0.00112117)100:1e-06)100:1e-06)100:0.00228884)100:1e-06)100:1e-06)100:0.00456294)100:0.00369637)100:0.00268491);"
17,340000,440000,25.0,37.0,"(reference:0.00871948,(DU:1e-06,DO:1e-06)100:0.011397,((EN:1e-06,AR:1e-06)100:1e-06,(CH:0.00457624,((HE:0.00286954,NI:1e-06)100:0.0140294,(((FLCK216:1e-06,(SCCU3:1e-06,CUSV6:0.00186273)100:1e-06)100:0.00186836,(BJSL25:1e-06,(BJVL19:1e-06,(BJSB3:1e-06,(MXSA3017:1e-06,(MXED8:1e-06,(BZBB1:1e-06,(MXGT4:1e-06,(CRL0030:1e-06,HNDA09:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00185634)100:0.00372316)100:1e-06)100:1e-06)100:1e-06)100:0.00160271,(TXGR3:0.00645086,((FLMO62:1e-06,(CUMM5:1e-06,(FLSA185:1e-06,FLBA140:1e-06)100:0.00186245)100:1e-06)100:1e-06,(TXWV2:1e-06,(FLCK18:1e-06,((CRL0001:1e-06,FLAB109:1e-06)100:1e-06,(CUVN10:1e-06,((LALC2:1e-06,(FLSF33:1e-06,FLWO6:1e-06)100:0.00185526)100:1e-06,(TXMD3:1e-06,(FLSF54:1e-06,(FLSF47:0.00221615,CUCA4:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00184441)100:1e-06)100:0.00375261)100:1e-06)100:0.00628728)100:0.00398396)100:0.00323937)100:0.00399999);"
18,360000,460000,33.0,37.0,"(reference:0.00986904,(AR:1e-06,(DU:1e-06,DO:1e-06)100:0.0114803)100:1e-06,(CH:0.0102078,(EN:1e-06,((HE:0.00195664,NI:1e-06)100:0.0121438,(((BJSL25:1e-06,BJVL19:1e-06)100:1e-06,(CUMM5:1e-06,(TXGR3:0.0050539,MXGT4:0.00139927)100:1e-06)100:0.00163657)100:0.00327171,((BJSB3:1e-06,((MXSA3017:1e-06,BZBB1:1e-06)100:1e-06,(HNDA09:1e-06,CRL0030:1e-06)100:0.00143972)100:0.0028646)100:1e-06,((MXED8:1e-06,(SCCU3:1e-06,(FLCK216:1e-06,CUSV6:0.00149876)100:0.00149888)100:1e-06)100:1e-06,(FLSF47:0.00164569,(FLSF54:1e-06,(TXWV2:1e-06,(CUCA4:1e-06,(CRL0001:1e-06,(FLAB109:1e-06,((FLMO62:1e-06,(FLBA140:1e-06,FLSA185:1e-06)100:0.00429878)100:1e-06,((LALC2:1e-06,(FLWO6:1e-06,FLSF33:0.00149395)100:0.00148039)100:1e-06,(TXMD3:1e-06,(CUVN10:1e-06,FLCK18:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00140739)100:0.00433671)100:1e-06)100:0.00405396)100:0.00772479)100:0.00276748)100:1e-06)100:0.00164983);"
19,380000,480000,33.0,37.0,"(reference:0.00986904,(AR:1e-06,(DU:1e-06,DO:1e-06)100:0.0114803)100:1e-06,(CH:0.0102078,(EN:1e-06,((HE:0.00195664,NI:1e-06)100:0.0121438,(((BJSL25:1e-06,BJVL19:1e-06)100:1e-06,(CUMM5:1e-06,(TXGR3:0.0050539,MXGT4:0.00139927)100:1e-06)100:0.00163657)100:0.00327171,((BJSB3:1e-06,((MXSA3017:1e-06,BZBB1:1e-06)100:1e-06,(HNDA09:1e-06,CRL0030:1e-06)100:0.00143972)100:0.0028646)100:1e-06,((MXED8:1e-06,(SCCU3:1e-06,(FLCK216:1e-06,CUSV6:0.00149876)100:0.00149888)100:1e-06)100:1e-06,(FLSF47:0.00164569,(FLSF54:1e-06,(TXWV2:1e-06,(CUCA4:1e-06,(CRL0001:1e-06,(FLAB109:1e-06,((FLMO62:1e-06,(FLBA140:1e-06,FLSA185:1e-06)100:0.00429878)100:1e-06,((LALC2:1e-06,(FLWO6:1e-06,FLSF33:0.00149395)100:0.00148039)100:1e-06,(TXMD3:1e-06,(CUVN10:1e-06,FLCK18:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00140739)100:0.00433671)100:1e-06)100:0.00405396)100:0.00772479)100:0.00276748)100:1e-06)100:0.00164983);"
