,start,end,nsnps,nsamplecov,tree
10,200000,300000,47.0,36.0,"(CH:0.00459297,reference:0.00644211,(DU:0.00392017,(CUCA4:1e-06,((DO:0.00511886,(AR:1e-06,CUSV6:1e-06)100:0.00351104)100:0.0010418,((NI:1e-06,HE:1e-06)100:0.024185,(BJSL25:0.00263043,((BZBB1:1e-06,(EN:1e-06,(BJSB3:1e-06,(SCCU3:1e-06,BJVL19:0.00125335)100:3.17918e-05)100:0.00109134)100:1.03093e-06)100:1e-06,(TXWV2:1e-06,(CRL0001:1e-06,(TXMD3:1e-06,(FLCK18:1e-06,(FLWO6:1e-06,(FLSF47:1e-06,(CRL0030:1e-06,(HNDA09:0.0058807,((FLAB109:1e-06,FLSF54:0.00150073)100:0.00130369,((MXSA3017:1e-06,(FLCK216:1e-06,FLMO62:1e-06)100:0.00236113)100:1e-06,(CUVN10:0.0014429,(FLBA140:1e-06,(TXGR3:1e-06,(FLSA185:1e-06,(LALC2:0.00448069,(MXGT4:0.00205103,(MXED8:1e-06,FLSF33:0.00144721)100:1e-06)100:0.00298739)100:1e-06)100:0.00340351)100:1e-06)100:1e-06)100:0.00452594)100:1e-06)100:1e-06)100:0.00161008)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00344826)100:1e-06)100:0.0060927)100:0.00252194)100:0.00130306)100:0.00261355)100:1e-06);"
11,220000,320000,16.0,35.0,"(reference:1e-06,(HE:1e-06,NI:1e-06)100:0.0113138,(CH:0.00691359,(DU:0.00300517,((CUCA4:1e-06,(LALC2:0.00916807,(FLSF33:0.00586261,MXED8:1e-06)100:0.00347858)100:0.00241528)100:1e-06,(FLMO62:1e-06,(FLSA185:1e-06,(MXSA3017:1e-06,(TXMD3:1e-06,(SCCU3:1e-06,(BZBB1:1e-06,((CUSV6:0.00606624,(AR:0.0102247,DO:1e-06)100:0.00605107)100:1e-06,((CRL0001:1e-06,(BJSL25:1e-06,(TXWV2:1e-06,(BJVL19:1e-06,BJSB3:1e-06)100:0.00245073)100:1e-06)100:1e-06)100:1e-06,(FLWO6:1e-06,(FLSF47:1e-06,(FLCK18:1e-06,(CRL0030:1e-06,((HNDA09:0.00788356,(FLAB109:1e-06,FLSF54:1e-06)100:0.0045446)100:1e-06,(FLCK216:1e-06,(TXGR3:1e-06,(FLBA140:1e-06,(CUVN10:1e-06,MXGT4:0.00301981)100:1e-06)100:1e-06)100:0.0058518)100:1e-06)100:0.00224276)100:1e-06)100:2.81528e-05)100:1e-06)100:0.000292426)100:0.00485682)100:0.00239663)100:1e-06)100:1.54182e-05)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00301718)100:0.00193546)100:0.00948218);"
12,240000,340000,7.0,31.0,"(reference:1e-06,(LALC2:0.00515169,(NI:1e-06,HE:1e-06)100:0.00487244)100:0.00638864,(FLSA185:1e-06,(CRL0030:1e-06,(CUCA4:1e-06,(MXED8:1e-06,(FLCK18:1e-06,(FLSF33:0.00564651,(MXSA3017:1e-06,(CH:1e-06,((FLSF47:1e-06,(FLSF54:1e-06,DU:0.00420064)100:1e-06)100:1e-06,(FLMO62:1e-06,(FLWO6:1e-06,((CUSV6:0.0114712,(AR:0.00443955,DO:1e-06)100:0.0117327)100:1e-06,((CRL0001:1e-06,(TXGR3:1e-06,(FLCK216:1e-06,MXGT4:0.00583117)100:1e-06)100:1e-06)100:1e-06,(BJSL25:1e-06,(FLBA140:1e-06,(TXWV2:1e-06,(CUVN10:1e-06,(HNDA09:1e-06,(BJSB3:1e-06,BJVL19:1e-06)100:0.00419755)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00845506)100:0.00420545)100:1e-06)100:1e-06)100:1e-06)100:0.0136349)100:1e-06)100:0.00179688)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06);"
13,260000,360000,7.0,31.0,"(reference:1e-06,(LALC2:0.00515169,(NI:1e-06,HE:1e-06)100:0.00487244)100:0.00638864,(FLSA185:1e-06,(CRL0030:1e-06,(CUCA4:1e-06,(MXED8:1e-06,(FLCK18:1e-06,(FLSF33:0.00564651,(MXSA3017:1e-06,(CH:1e-06,((FLSF47:1e-06,(FLSF54:1e-06,DU:0.00420064)100:1e-06)100:1e-06,(FLMO62:1e-06,(FLWO6:1e-06,((CUSV6:0.0114712,(AR:0.00443955,DO:1e-06)100:0.0117327)100:1e-06,((CRL0001:1e-06,(TXGR3:1e-06,(FLCK216:1e-06,MXGT4:0.00583117)100:1e-06)100:1e-06)100:1e-06,(BJSL25:1e-06,(FLBA140:1e-06,(TXWV2:1e-06,(CUVN10:1e-06,(HNDA09:1e-06,(BJSB3:1e-06,BJVL19:1e-06)100:0.00419755)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00845506)100:0.00420545)100:1e-06)100:1e-06)100:1e-06)100:0.0136349)100:1e-06)100:0.00179688)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06);"
14,280000,380000,1.0,11.0,
15,300000,400000,2.0,5.0,
16,320000,420000,12.0,19.0,"(AR:1e-06,reference:0.0141541,(DU:0.00416969,(((FLBA140:0.0318605,(HE:0.0229222,NI:0.00585612)100:0.0168749)100:0.00313492,(TXGR3:1e-06,(FLSF54:1e-06,(FLWO6:1e-06,SCCU3:1e-06)100:0.0073334)100:1e-06)100:1e-06)100:1e-06,(DO:1e-06,(MXED8:1e-06,(CH:1e-06,(FLMO62:1e-06,(TXMD3:0.0162733,(CUVN10:0.00179706,(BJSL25:0.0119292,(CRL0030:1e-06,CRL0001:1e-06)100:0.00599126)100:0.000854478)100:0.000102651)100:0.00172174)100:1e-06)100:1e-06)100:0.00369633)100:0.00370096)100:1e-06)100:0.00469465);"
17,340000,440000,23.0,27.0,"(BZBB1:0.0105224,reference:1e-06,(CUSV6:0.0329425,(CH:1e-06,((DU:0.00735225,(HNDA09:1e-06,(LALC2:1e-06,(FLSF47:1e-06,((DO:1e-06,(CUVN10:0.0042248,FLMO62:1e-06)100:0.00422098)100:0.00183483,(MXED8:1e-06,(MXGT4:0.00672571,TXMD3:1e-06)100:0.0161622)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00360408)100:0.0037255,(FLSF54:0.0275553,(TXGR3:1e-06,((FLBA140:0.0237248,CUCA4:0.00350817)100:1e-06,(BJSL25:0.0209931,(SCCU3:0.00687217,((FLWO6:1e-06,(MXSA3017:1e-06,AR:1e-06)100:1e-06)100:1e-06,((HE:0.016308,NI:0.0168802)100:0.0159116,(CRL0001:1e-06,CRL0030:1e-06)100:0.00809859)100:0.00616287)100:0.00739838)100:1e-06)100:0.00550754)100:0.000264624)100:1e-06)100:0.00285963)100:1e-06)100:0.01456)100:1e-06);"
18,360000,460000,25.0,28.0,"(reference:1e-06,(FLSF33:1e-06,BZBB1:0.010779)100:1e-06,(CUSV6:0.0337646,((DU:0.00722848,((DO:1e-06,(FLMO62:1e-06,CUVN10:0.00419317)100:0.00419158)100:0.00183095,(MXED8:1e-06,(MXGT4:0.0069009,TXMD3:1e-06)100:0.0160149)100:1e-06)100:0.00360195)100:0.00374381,(FLBA140:0.0238364,(CUCA4:0.0035179,(HNDA09:1e-06,(LALC2:1e-06,(FLSF47:1e-06,((FLSF54:0.0269136,CH:1e-06)100:0.00195254,(BJSL25:0.0208872,(SCCU3:0.00681614,(TXGR3:1e-06,(FLWO6:1e-06,(AR:1e-06,(MXSA3017:1e-06,((CRL0001:1e-06,CRL0030:1e-06)100:0.00826049,(HE:0.0097651,NI:0.0115936)100:0.0147862)100:1e-06)100:0.00555386)100:1e-06)100:0.00290575)100:0.00398242)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00556395)100:1e-06)100:0.00300871)100:0.0167302)100:1e-06);"
19,380000,480000,25.0,28.0,"(reference:1e-06,(FLSF33:1e-06,BZBB1:0.010779)100:1e-06,(CUSV6:0.0337646,((DU:0.00722848,((DO:1e-06,(FLMO62:1e-06,CUVN10:0.00419317)100:0.00419158)100:0.00183095,(MXED8:1e-06,(MXGT4:0.0069009,TXMD3:1e-06)100:0.0160149)100:1e-06)100:0.00360195)100:0.00374381,(FLBA140:0.0238364,(CUCA4:0.0035179,(HNDA09:1e-06,(LALC2:1e-06,(FLSF47:1e-06,((FLSF54:0.0269136,CH:1e-06)100:0.00195254,(BJSL25:0.0208872,(SCCU3:0.00681614,(TXGR3:1e-06,(FLWO6:1e-06,(AR:1e-06,(MXSA3017:1e-06,((CRL0001:1e-06,CRL0030:1e-06)100:0.00826049,(HE:0.0097651,NI:0.0115936)100:0.0147862)100:1e-06)100:0.00555386)100:1e-06)100:0.00290575)100:0.00398242)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:1e-06)100:0.00556395)100:1e-06)100:0.00300871)100:0.0167302)100:1e-06);"
20,400000,500000,23.0,28.0,"(reference:1e-06,(BZBB1:0.0107431,FLSF33:1e-06)100:1e-06,(CUSV6:0.0335209,(((MXGT4:0.0138023,DU:1e-06)100:0.00937908,((MXED8:1e-06,(BJSL25:0.019234,TXMD3:1e-06)100:0.00850668)100:1e-06,((FLMO62:1e-06,CUVN10:0.00419794)100:0.00419005,(CRL0001:1e-06,DO:1e-06)100:1e-06)100:0.0018363)100:0.00362235)100:0.00314706,(LALC2:1e-06,(HNDA09:1e-06,(FLSF47:1e-06,((FLBA140:0.0239602,CUCA4:0.00356008)100:1e-06,((CH:0.000349091,FLSF54:0.0272328)100:0.00149549,(SCCU3:0.00682672,(TXGR3:1e-06,(FLWO6:1e-06,(MXSA3017:1e-06,(AR:1e-06,(CRL0030:0.012596,(HE:0.00977512,NI:0.0113429)100:0.0166103)100:0.000119006)100:1e-06)100:0.00300774)100:0.00810795)100:0.00210383)100:1e-06)100:0.00404338)100:1e-06)100:1e-06)100:1e-06)100:0.00352445)100:0.017053)100:1e-06);"
21,420000,520000,26.0,29.0,"(reference:1e-06,(BZBB1:0.0108944,(SCCU3:0.0102267,CUSV6:0.0344083)100:1e-06)100:1e-06,(FLSF33:1e-06,(FLCK216:1e-06,(BJVL19:1e-06,(BJSB3:1e-06,((DO:1e-06,DU:0.0083025)100:0.00443227,(FLBA140:0.0213716,((BJSL25:0.00764504,(AR:1e-06,(MXSA3017:1e-06,FLWO6:1e-06)100:1e-06)100:0.0162455)100:1e-06,(CUCA4:1e-06,(LALC2:1e-06,(MXED8:1e-06,(CH:0.00144359,((TXMD3:1e-06,(CRL0030:1e-06,(HE:1e-06,NI:0.022259)100:1e-06)100:0.00674379)100:0.00680361,(FLSF54:0.0189741,(CUVN10:0.00802155,(HNDA09:1e-06,(FLSF47:1e-06,(MXGT4:1e-06,CRL0001:1e-06)100:1e-06)100:1e-06)100:0.00469804)100:1e-06)100:0.00571961)100:0.0168081)100:0.00477589)100:1e-06)100:0.00531477)100:0.00411212)100:1e-06)100:0.00438441)100:0.00529651)100:1e-06)100:1e-06)100:0.00141785)100:1e-06);"
